text,label
지금 기분이 편리했다.,1
내 마음이 허전했다.,0
하루종일 다정했다.,1
전체적으로 행복감이 들었다.,1
나는 빛났다.,1
이번 주는 따뜻하게 느껴졌다.,1
오늘은 정말 지루했다.,0
오늘 하루는 괴로웠다.,0
이번 달은 겸손했다.,1
이번 주는 설렜다.,1
전체적으로 불확실했다.,0
요즘 들어 피로감이 들었다.,0
지금 기분이 선명하게 기억났다.,1
전체적으로 무리했다.,0
하루종일 성가셨다.,0
지금 기분이 희망을 가졌다.,1
오늘은 정말 혼란했다.,0
오늘은 정말 열심히 했다.,1
요즘 들어 상처받았다.,0
전체적으로 감동받았다.,1
지금 기분이 웃음이 넘쳤다.,1
전체적으로 보람 있었다.,1
하루종일 무기력했다.,0
이번 달은 싫증났다.,0
전체적으로 슬펐다.,0
나는 재밌었다.,1
요즘 들어 모욕감을 느꼈다.,0
이번 주는 공포스러웠다.,0
전체적으로 활발했다.,1
이번 주는 맑았다.,1
하루종일 유쾌했다.,1
오늘 하루는 허탈했다.,0
나는 믿을 수 있었다.,1
하루종일 활기차게 보냈다.,1
하루종일 빛났다.,1
하루종일 허무하게 느껴졌다.,0
내 마음이 실망감이 들었다.,0
이번 달은 피곤했다.,0
오늘 하루는 충만했다.,1
요즘 들어 격려받았다.,1
오늘은 정말 실망했다.,0
지금 기분이 혼란했다.,0
전체적으로 안락했다.,1
나는 희망이 가득했다.,1
하루종일 우려했다.,0
요즘 들어 친절했다.,1
하루종일 고통스러웠다.,0
내 마음이 부끄러웠다.,0
이번 주는 상냥했다.,1
전체적으로 협력적이었다.,1
오늘 하루는 분노가 치밀었다.,0
이번 달은 즐거웠다.,1
하루종일 평화로웠다.,1
이번 달은 우울했다.,0
하루종일 풍요로웠다.,1
오늘 하루는 설렜다.,1
지금 기분이 평온했다.,1
오늘 하루는 황당했다.,0
하루종일 망설였다.,0
이번 주는 정성스러웠다.,1
나는 안정적이었다.,1
오늘 하루는 활기찼다.,1
이번 달은 불쾌감을 느꼈다.,0
하루종일 슬퍼했다.,0
하루종일 질투심에 시달렸다.,0
요즘 들어 모멸감을 느꼈다.,0
하루종일 비통했다.,0
오늘 하루는 무의미하게 느껴졌다.,0
내 마음이 믿을 수 있었다.,1
내 마음이 친절했다.,1
오늘은 정말 긍정적이었다.,1
지금 기분이 친근했다.,1
오늘 하루는 신났다.,1
나는 억울했다.,0
전체적으로 희망이 가득했다.,1
오늘 하루는 비참했다.,0
오늘은 정말 비관적이었다.,0
나는 난감했다.,0
전체적으로 고립되었다.,0
지금 기분이 어수선했다.,0
요즘 들어 친절했다.,1
이번 달은 비참하게 느껴졌다.,0
전체적으로 기쁨이 넘쳤다.,1
하루종일 충만했다.,1
오늘 하루는 후회스러웠다.,0
이번 주는 모호했다.,0
요즘 들어 헷갈렸다.,0
지금 기분이 신났다.,1
하루종일 실망감이 들었다.,0
오늘 하루는 맑았다.,1
요즘 들어 자신감이 생겼다.,1
이번 달은 힘들었다.,0
이번 달은 무리했다.,0
이번 주는 재치 있었다.,1
하루종일 불행감을 느꼈다.,0
이번 주는 심란했다.,0
하루종일 질투났다.,0
이번 주는 허무했다.,0
하루종일 풍요로웠다.,1
이번 달은 사랑했다.,1
나는 고립된 느낌이었다.,0
지금 기분이 우울했다.,0
이번 달은 자랑스러웠다.,1
오늘은 정말 위로받았다.,1
이번 주는 질투났다.,0
요즘 들어 충족했다.,1
하루종일 순수했다.,1
요즘 들어 행복을 느꼈다.,1
이번 주는 기쁨을 느꼈다.,1
내 마음이 기대가 충만했다.,1
오늘 하루는 지쳤다.,0
나는 상처받았다.,0
나는 무기력감을 느꼈다.,0
지금 기분이 불안감이 들었다.,0
내 마음이 명랑했다.,1
하루종일 비극적이었다.,0
요즘 들어 지쳤다.,0
이번 달은 부정적으로 느껴졌다.,0
요즘 들어 지루했다.,0
이번 주는 비관적이었다.,0
내 마음이 안심이 됐다.,1
전체적으로 불행감을 느꼈다.,0
오늘 하루는 패배감을 느꼈다.,0
나는 소외되었다.,0
오늘은 정말 감사했다.,1
오늘 하루는 다정했다.,1
내 마음이 좌절했다.,0
오늘 하루는 혐오감이 들었다.,0
하루종일 고립되었다.,0
오늘 하루는 무섭다.,0
요즘 들어 행운이었다.,1
전체적으로 암울했다.,0
요즘 들어 기운이 났다.,1
오늘은 정말 불만이 있었다.,0
내 마음이 후회스러웠다.,0
이번 주는 배려했다.,1
내 마음이 분노가 치밀었다.,0
지금 기분이 믿음직했다.,1
오늘은 정말 정성스러웠다.,1
오늘은 정말 정직했다.,1
요즘 들어 소중하게 느껴졌다.,1
내 마음이 안락했다.,1
오늘은 정말 만족스러웠다.,1
오늘은 정말 맑았다.,1
오늘 하루는 든든했다.,1
오늘은 정말 모호했다.,0
내 마음이 짜증났다.,0
이번 달은 기대됐다.,1
오늘은 정말 만족스러웠다.,1
전체적으로 다정했다.,1
하루종일 힘들었다.,0
이번 주는 평온했다.,1
이번 달은 화사했다.,1
